provider,model,scope,calls,accuracy_pct,valid_output_pct,invalid_pct,route_stability_pct,stability_case_coverage_pct,low_confidence_pct,excessive_question_pct,missed_required_question_pct,latency_mean_ms,latency_p50_ms,latency_p95_ms,status
Workers AI,@cf/meta/llama-3.3-70b-instruct-fp8-fast,30 cases x 3,90,93.3,100,0,100,100,0,4.5,12.5,1923,1839,2908,recommande primaire
Workers AI,@cf/meta/llama-3.1-8b-instruct-fast,30 cases x 3,90,20.0,25.6,74.4,100,26.7,0,10.0,100,736,711,1226,ecarte
Workers AI,@cf/deepseek-ai/deepseek-r1-distill-qwen-32b,sonde,1,0,0,100,NA,NA,NA,NA,NA,68309,NA,NA,ecarte apres sonde
Groq,llama-3.1-8b-instant,non execute,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bloque endpoint et secret absents
